joint,official_nme,epoch5_nme,epoch10_nme,epoch5_relative_change_percent,epoch10_relative_change_percent
left_shoulder,0.030256532203686178,0.02975958989723923,0.02989499044288361,-1.6424298168129292,-1.1949213425011096
right_shoulder,0.027639446957603193,0.027286379900922395,0.02739066360845796,-1.2774027541953892,-0.9001024858668383
left_elbow,0.020347692773370427,0.020002987955034635,0.02070831840636816,-1.6940732405146042,1.7723170730673532
right_elbow,0.019753019634706832,0.018552857081081793,0.018740536481295842,-6.075843470110797,-5.12571329414373
left_wrist,0.01940889456173371,0.01871109390746732,0.01880814948169723,-3.595262223960771,-3.095205026364045
right_wrist,0.021172294916962243,0.021379966004439727,0.021081414632619155,0.980862435045271,-0.42924153805490306
left_hip,0.06786101376590307,0.06454958922754134,0.06501861596715149,-4.879715693291886,-4.188557819894756
right_hip,0.07076708247602084,0.06526855976080807,0.06593621801167131,-7.769887527970254,-6.8264287509471
left_knee,0.02993149556868543,0.03074898196056398,0.02983418715869311,2.731191263071442,-0.3251037348568908
right_knee,0.036811655446418255,0.03544698372483778,0.036038424501953784,-3.7071729185525037,-2.1005057639691294
left_ankle,0.024946975979162813,0.02551152050188725,0.025246688327597227,2.2629777781322247,1.2013975108035257
right_ankle,0.026498244418673662,0.026370020167102236,0.026267632730256604,-0.4838971576587414,-0.8702904417869362
