epoch,legacy_nme,legacy_pck05,diagnostic_nme,diagnostic_pck05,p50,p90,p95,p99,bad_tail_count,bad_tail_ratio
0,0.03520715038891125,0.7913085304389652,0.035179423061361445,0.8112058465286236,0.024479673051379908,0.06699948143310577,0.09436017055669516,0.1514488516973868,35,0.04263093788063337
1,0.034686225331563,0.7986762030240293,0.03466148123984501,0.8172959805115713,0.023664029380784643,0.06660574338337215,0.09161228430298424,0.15100563558270905,33,0.040194884287454324
2,0.0344863427959957,0.8018931551540248,0.03446229732264715,0.8209500609013398,0.023764327833617382,0.06539973771885943,0.08920579012399628,0.15281743299168685,31,0.037758830694275276
3,0.03436288343078853,0.8029361942405421,0.03433911494219391,0.8221680876979294,0.023690722975179875,0.065392505408801,0.08884230769769795,0.1539841224758161,31,0.037758830694275276
4,0.03446076634313991,0.7988299140473053,0.03443974259177284,0.8209500609013398,0.02386863061562654,0.06535986652142434,0.0897430346684878,0.1539719683516744,31,0.037758830694275276
5,0.034272957679604275,0.8052193780454651,0.03425163978191457,0.8282582216808769,0.02355034586618447,0.06359280892575979,0.09008509021263991,0.15553073670070713,31,0.037758830694275276
6,0.03434864054522141,0.8070309722483635,0.03432367355029605,0.8294762484774665,0.02345393030673021,0.06294053961666238,0.08939328183166084,0.15487629163804917,31,0.037758830694275276
7,0.03434851524839487,0.8087876696572349,0.03432401558892725,0.830694275274056,0.023615074059261425,0.06296244277941337,0.08949327703970662,0.15509974116189057,32,0.0389768574908648
8,0.03433228773050561,0.8106541606541606,0.03430980200512356,0.833130328867235,0.023738382698133532,0.06289803195765187,0.0899215376435166,0.15521945838026735,31,0.037758830694275276
9,0.03442128827950843,0.8089523600393167,0.034399326135469505,0.8294762484774665,0.023703199638212363,0.06259750152711145,0.08957205727997286,0.15476530205477343,31,0.037758830694275276
10,0.03453912071493048,0.812213229604534,0.034520061596952076,0.833130328867235,0.023889334572324353,0.06257634839350096,0.0892611673695613,0.15441390537456073,32,0.0389768574908648
