subject_id,sequence,frame,pose_family,Tx_mm,Ty_mm,Tz_mm,Tnorm_mm,valid_depth_points,Official_A_median,Corrected_A_median,Official_A_mean,Corrected_A_mean,Official_A_P90,Corrected_A_P90,Official_A_P95,Corrected_A_P95,Official_B_median,Corrected_B_median,Official_B_mean,Corrected_B_mean,Official_B_P90,Corrected_B_P90,Official_B_P95,Corrected_B_P95,Official_B_coverage,Corrected_B_coverage,runtime_sam_ms,runtime_txyz_ms,runtime_total_ms,outcome_class,fallback_reason
p000838,a000084,23,a000084,8.978329704236288,-26.042984804084846,-153.78546063249792,156.23320826166673,14292,142.9657964336969,31.369130509587364,137.00351712247496,37.064436585335066,219.3206653368002,75.07404073976731,250.1119851337947,99.60717157479795,102.2893244842582,23.148044628503506,111.72914433566555,30.44280919538655,195.00946992830495,63.34094472104011,239.34668998154882,91.34536636977754,0.43403835428375304,0.6518833926809386,6358.715448004659,114.39395596971735,6473.109403974377,LARGE_CORRECTION,
p000838,a000084,46,a000084,13.444217116349327,-47.3350129493344,-260.996682344846,265.5948392190663,11372,234.84227510573507,234.84227510573507,225.3717242057946,225.3717242057946,311.23632496300644,311.23632496300644,329.8125419500264,329.8125419500264,170.0564396288387,170.0564396288387,164.11817985845994,164.11817985845994,282.28849566241473,282.28849566241473,315.6612511175905,315.6612511175905,0.3890873111636662,0.3890873111636662,367.6069930079393,140.52922499831766,508.13621800625697,FALLBACK,CORRECTION_OUT_OF_RANGE
p000838,a000084,70,a000084,13.513919181604606,-40.93231981623191,-256.5317067017859,260.1280403196017,12116,234.60829203961626,234.60829203961626,217.471697330064,217.471697330064,314.11330766335436,314.11330766335436,329.70680828134425,329.70680828134425,163.61019151069652,163.61019151069652,164.00784350917306,164.00784350917306,281.4042520913702,281.4042520913702,316.47945620413054,316.47945620413054,0.3683268020977476,0.3683268020977476,338.7149050249718,111.53424001531675,450.24914504028857,FALLBACK,CORRECTION_OUT_OF_RANGE
p000838,a001422,82,a001422,3.372014254176409,-4.265863982300999,8.203908425993722,9.842367048020137,12627,24.98017488533179,23.28648527698965,33.52132769567653,31.754386102068786,77.91076072988064,71.74849491268576,85.42154519509225,79.45328083168923,26.471759910486732,25.03564235905847,32.49289983864772,30.678460531935457,72.50032692503423,67.79902602554222,81.78854148425575,77.05023712739764,0.7390936689909477,0.7417136836852101,348.28594396822155,94.89440702600405,443.1803509942256,SMALL_CORRECTION,
p000838,a001422,164,a001422,2.2131711536238496,-1.3258045803716811,0.8354940282835344,2.7118138969819996,12754,28.236271155098564,28.105874879231138,35.91038324866984,35.847860193592126,81.77102656224753,81.63730633487111,89.66393982968076,89.25524736747252,29.346334287616017,29.071397700468747,35.022999194153094,35.01424657367358,75.97393676028082,76.13649125112636,85.89094126473111,85.76368404185588,0.7347999161952651,0.7302604930511907,339.1725670080632,99.91512598935515,439.08769299741834,SMALL_CORRECTION,
p000838,a001422,245,a001422,5.015301613127764,-0.26320884610608886,-0.8713369789639103,5.097230355616705,12790,28.040875484276448,27.505354040558334,35.43142951637376,35.261626644481524,81.71624060292167,82.22924676711524,90.94808766366688,90.98250326336374,29.52840973831789,29.320052629820353,35.03420841447524,35.240379465018805,76.50550700909221,76.70635258169932,87.81111652101092,88.11381565616004,0.7324160316116286,0.7208580299181485,352.07994998199865,99.61881302297115,451.6987630049698,SMALL_CORRECTION,
p000838,a000017,8,a000017,10.827316990322904,-75.68075759385562,-113.30832934855368,136.68791227811326,16648,125.12613597425579,41.602951597899015,135.72756567442056,50.33432764126084,235.16827352261717,110.3766988797625,247.47268781351613,131.82100446641402,108.7815130764125,34.84475808642659,117.10500691159126,44.83351018833995,219.4400857719915,99.5311194700115,237.06714120501096,123.21152357535816,0.4768755165131156,0.6146837664391458,344.59340397734195,121.9063499593176,466.49975393665954,LARGE_CORRECTION,
p000838,a000017,17,a000017,10.332024712359916,-80.89284228202231,-117.65952618008431,143.15783865385401,16682,131.46501331137702,41.8188514719274,142.59503555270214,51.793551439765785,246.00461594623698,115.38295713972191,256.14920862279376,136.61767340878413,114.26003997342046,35.95209538361001,124.47374527615818,47.42563379208787,233.0197479699605,107.75450932282628,248.94334168192344,130.16391059030389,0.4624886429759997,0.6075216676705085,335.99944203160703,100.79836699878797,436.797809030395,LARGE_CORRECTION,
p000838,a000017,26,a000017,9.876169520459356,-79.64912883242526,-115.71023616994398,140.8203863176967,16640,126.9666847872567,42.16121315297645,140.00208081930495,51.83061858311077,243.75829144812917,116.2970480305476,254.66097923226243,136.23778619804125,112.88824101341666,36.49797055773587,122.75161763118417,47.38206141314724,230.01358779768992,106.44937363736538,247.35094463299706,130.00691980780695,0.46228997689873097,0.6073293101167275,332.9436670173891,102.54435602109879,435.4880230384879,LARGE_CORRECTION,
p000891,a001199,20,a001199,7.303792294196365,-6.7238622379584,6.388668051942048,11.8055404259911,16374,23.705851694385082,21.964693679268755,119.68903132694517,118.6857783546615,83.64296940655446,83.68090075661567,106.20496708228805,110.79913812231538,21.7051437035812,20.56541288154295,31.85163428139352,30.89679956315609,75.78176420258995,75.34265244806824,93.20574155491055,92.94192439515886,0.6211143974811564,0.6208758706230322,351.06008499860764,103.39367500273511,454.45376000134274,SMALL_CORRECTION,
