frame_id,method,translation_norm_mm,pose_l2,shape_l2
Sub03/Date03_Sub03_backpack_back/t0014.000,O2,20.592506408691406,0.17095907032489777,0.0
Sub03/Date03_Sub03_backpack_back/t0014.000,O3,4.1739726066589355,0.0,0.2931397259235382
Sub03/Date03_Sub03_backpack_back/t0014.000,O4,18.04291343688965,0.16894768178462982,0.25823768973350525
Sub03/Date03_Sub03_backpack_back/t0026.000,O2,15.930068016052246,0.1210792139172554,0.0
Sub03/Date03_Sub03_backpack_back/t0026.000,O3,17.865917205810547,0.0,0.24715039134025574
Sub03/Date03_Sub03_backpack_back/t0026.000,O4,13.0866060256958,0.11375024914741516,0.2061351090669632
Sub03/Date03_Sub03_backpack_back/t0036.000,O2,6.354401588439941,0.1427282840013504,0.0
Sub03/Date03_Sub03_backpack_back/t0036.000,O3,42.23860549926758,0.0,0.2399085909128189
Sub03/Date03_Sub03_backpack_back/t0036.000,O4,5.899407386779785,0.14075127243995667,0.20224529504776
Sub03/Date03_Sub03_stool_sit/t0015.000,O2,44.337581634521484,0.12787678837776184,0.0
Sub03/Date03_Sub03_stool_sit/t0015.000,O3,63.593467712402344,0.0,0.20923537015914917
Sub03/Date03_Sub03_stool_sit/t0015.000,O4,43.16984558105469,0.1262066811323166,0.19993992149829865
Sub03/Date03_Sub03_stool_sit/t0027.000,O2,7.9854512214660645,0.13068561255931854,0.0
Sub03/Date03_Sub03_stool_sit/t0027.000,O3,8.898200988769531,0.0,0.22834286093711853
Sub03/Date03_Sub03_stool_sit/t0027.000,O4,8.430980682373047,0.13118404150009155,0.20818085968494415
Sub03/Date03_Sub03_stool_sit/t0038.000,O2,16.356658935546875,0.1072072982788086,0.0
Sub03/Date03_Sub03_stool_sit/t0038.000,O3,4.243162155151367,0.0,0.2775751054286957
Sub03/Date03_Sub03_stool_sit/t0038.000,O4,14.96250057220459,0.10408404469490051,0.17272543907165527
Sub03/Date03_Sub03_yogaball_play/t0014.000,O2,29.29326057434082,0.11871851235628128,0.0
