id,heldout_outcome,tx_m,ty_m,tz_m,runtime_sam_ms,runtime_txyz_ms,A_official_metric,A_official_sample_count,A_official_unit,A_official_mean_mm,A_official_median_mm,A_official_p90_mm,A_official_p95_mm,A_official_max_mm,A_official_coverage_50mm,A_txyz_metric,A_txyz_sample_count,A_txyz_unit,A_txyz_mean_mm,A_txyz_median_mm,A_txyz_p90_mm,A_txyz_p95_mm,A_txyz_max_mm,A_txyz_coverage_50mm,B_official_metric,B_official_sample_count,B_official_unit,B_official_mean_mm,B_official_median_mm,B_official_p90_mm,B_official_p95_mm,B_official_max_mm,B_official_coverage_50mm,B_txyz_metric,B_txyz_sample_count,B_txyz_unit,B_txyz_mean_mm,B_txyz_median_mm,B_txyz_p90_mm,B_txyz_p95_mm,B_txyz_max_mm,B_txyz_coverage_50mm
Date01_Sub01_backpack_back_t0008_000,improved,-0.010319886963911007,-0.0007061931460003237,0.03657514665649164,3664.621375966817,120.56720798136666,observed_to_exact_triangle_surface,5000,mm,57.10133438885943,33.739472696953925,75.20204808029852,86.92870613465094,4352.952983096066,0.69,observed_to_exact_triangle_surface,5000,mm,39.3203144571316,20.229312313696553,49.71197865726284,58.51332510853014,4319.904972787533,0.9018,observed_to_exact_triangle_surface,5000,mm,76.47399568961474,36.05705912157342,105.36748076705439,130.5406745898171,3719.0688471053672,0.6348,observed_to_exact_triangle_surface,5000,mm,69.61460841872648,26.221964753963526,78.45806073284025,107.93513929981815,3714.8510855423665,0.8074
Date01_Sub01_stool_sit_t0034_000,improved,-0.005296523530453956,0.006567886291951736,0.024739067745810583,324.30273899808526,121.01642997004092,observed_to_exact_triangle_surface,5000,mm,38.81759289963567,32.34643551904238,66.46483007036251,93.13635256924911,4198.2970698560275,0.7592,observed_to_exact_triangle_surface,5000,mm,31.404409425806524,24.85839797906511,58.97982945474485,78.4685335882166,403.3792699006704,0.8482,observed_to_exact_triangle_surface,5000,mm,52.73928939004538,38.401168164359035,93.28536576254278,109.80113180449109,2280.502179265879,0.626,observed_to_exact_triangle_surface,5000,mm,40.758920413160695,25.772473420760775,72.46592561581586,87.83712624539,2272.4275950149854,0.7578
Date01_Sub01_yogaball_play_t0031_000,improved,-0.004456079275699257,-0.002748919789596037,0.029964401958606723,336.7545069777407,157.34675800194964,observed_to_exact_triangle_surface,5000,mm,47.38546982501836,26.27700494585301,61.70457076680683,68.65667713653045,3568.3609678441508,0.7884,observed_to_exact_triangle_surface,5000,mm,37.618529645046145,18.16677646162285,39.35458710322451,48.489743583107575,3529.778838307364,0.9558,observed_to_exact_triangle_surface,5000,mm,43.38259135110348,19.065007768576777,50.95068071768831,59.3347993867936,3002.004101475006,0.8944,observed_to_exact_triangle_surface,5000,mm,36.64563838146903,13.627515874886418,34.8424933601583,42.75118850806963,3009.8964084839636,0.9816
