subject,sequence,frame,frame_id,camera,role,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm,aligned_mean_mm,aligned_p90_mm,aligned_p95_mm,aligned_coverage_50mm,aligned_translation_mm
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K0,K0_DIAGNOSTIC,O0,29.523659471999622,39.973183821265984,74.48191669042514,148.1530463744643,0.7772,23.416453873252962,36.08688624937119,69.21509765161356,137.4312704305273,0.8018,26.811539050973487
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K0,K0_DIAGNOSTIC,O1,23.278009192632076,36.719177939891644,69.70599409812654,148.84346757626952,0.8016,23.006624171468232,36.016911667982264,69.07231614676355,136.8069198274335,0.802,12.909890186473989
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K0,K0_DIAGNOSTIC,O2,12.503520077562415,30.058731176117675,61.07873697505607,172.41213925073689,0.8732,15.159886248661879,28.865756753709167,52.42630885111145,157.65527345374855,0.8942,15.051710154725546
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K0,K0_DIAGNOSTIC,O3,21.84456806208249,36.21148503503856,69.12389616711602,153.17440887948985,0.812,22.00019731402417,35.591155252843585,68.51003721160106,140.62835864269707,0.809,13.07947839635302
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K0,K0_DIAGNOSTIC,O4,12.248220961868256,29.674779424574936,60.9709262672836,173.68569580964572,0.8766,14.147511676514,28.50715900552382,52.58069883724661,159.6709654185159,0.8944,14.388436859004248
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K1,HELD_OUT,O0,38.679377893030974,108.21794723665396,228.82140647824076,236.21174203116954,0.5198,56.74454117959389,73.56082196202344,123.61201194704805,132.5614025193762,0.465,114.08148218765074
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K1,HELD_OUT,O1,35.691349132481776,102.77729345382026,226.38325200285334,235.84488979761105,0.5296,57.529715697610385,73.17239118260885,122.12939015563012,132.88471645227398,0.4516,109.72727013984839
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K1,HELD_OUT,O2,30.708809289735363,101.41457736280307,238.98814041783416,249.8441064030591,0.5412,49.95783453177225,74.16578380924673,141.96188163069104,153.88725192096442,0.5002,100.56387351541753
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K1,HELD_OUT,O3,36.729575478373235,103.63439817450735,230.3151161767221,240.28683213106356,0.529,57.615320047258386,74.14949607754085,125.94086872566676,136.58469699321668,0.4518,109.50354596813571
Sub03,Date03_Sub03_backpack_back,t0014.000,Sub03/Date03_Sub03_backpack_back/t0014.000,K1,HELD_OUT,O4,29.393360294353,101.73422072661182,240.70328000328115,251.25925250795245,0.5426,49.78653936502622,74.84847675793543,144.73529750434125,156.54955564377792,0.5018,99.57204794288084
