method,subjects,absolute_median_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
O0,5,30.11309435268067,72.67517173269695,94.03279169525312,0.7772,17.363421862298047
O1,5,18.60942857424976,54.02677099790952,82.44215257874598,0.8802,16.461141950207924
O2,5,16.632792819859414,54.572206430422085,70.31063671440477,0.879,15.171307933937236
O3,5,18.848744807474965,60.83990534435349,80.12110608360376,0.847,16.114735075158173
O4,5,17.135407718761243,55.10255043155372,69.7492926054428,0.8712,15.137212579490718
