subject,sequence,frame_id,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0036.000,O3,19.919314094052176,44.5360674160332,65.32595174141143,79.87102900261861,0.8116,18.240871330795553
Sub03,Date03_Sub03_backpack_back,Sub03/Date03_Sub03_backpack_back/t0036.000,O4,17.15928315420763,39.406770424640165,55.10255043155372,69.32467959138222,0.8712,13.45009171413442
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O0,68.30504127892475,88.29087125909852,129.31551173505466,144.27623734846048,0.3222,17.13312027984579
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O1,52.109502336259254,67.57630854692687,103.2511622101955,115.33837875412517,0.4754,16.461141950207924
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O2,25.284463926969597,56.16746862416063,83.42950034375869,103.51703279408972,0.779,16.660902003778855
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O3,20.647069857835746,51.06261694287685,62.307968989848355,80.65212545733466,0.8322,16.114735075158173
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0015.000,O4,25.390651645160716,56.55570665628612,83.27633300369783,102.85998415248494,0.7766,16.923736597644748
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0027.000,O0,15.349125656026377,27.24269106524816,39.617120882615794,43.55078646187652,0.9856,11.974103176526825
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0027.000,O1,13.368958815315487,25.79257181318429,34.33562005998606,38.71403806615161,0.9906,12.036793081935777
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0027.000,O2,12.216345080685546,23.502690523684823,39.73751529346646,47.0845530291293,0.9648,10.724039075481073
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0027.000,O3,13.055485625164806,24.976571184175917,31.10798910530004,36.984669950827595,0.9928,11.908142625453703
Sub03,Date03_Sub03_stool_sit,Sub03/Date03_Sub03_stool_sit/t0027.000,O4,11.63767756607393,23.60661667504883,38.623816621452505,45.36511078202592,0.9716,10.552311981699136
