id,model,variant,mean_px,p95_px,max_px,mean_mm,p95_mm
B1,sam,pad_shift,4.372198281809106,6.908996574471261,9.792237965898885,25.747010270096606,29.455666872544843
B1,sam,crop,1.399214181072015,1.83439466373922,2.0355403163694996,1.174073240461027,1.4177857739556177
B1,nlf,pad_shift,3.160172948617408,6.599016306186657,7.157155479383175,3.1611576080322266,4.524073123931885
B1,nlf,crop,3.3700416966265863,5.356661268224809,7.075218969375308,2.7284107208251953,4.111968040466309
B2,sam,pad_shift,2.234855320543992,3.0636243509054295,3.0841393480375894,2.3052197818652465,3.499647739566681
B2,sam,crop,0.0001715740678673719,0.000277064093036178,0.00032633130194405886,0.0004002127091565276,0.0004614033067599711
B2,nlf,pad_shift,1.4011784966186647,2.578178794149135,3.6157413155063316,5.584742546081543,8.518545150756836
B2,nlf,crop,0.0,0.0,0.0,0.0,0.0
B3,sam,pad_shift,0.7644967690293509,1.1213230471679159,1.168118857074721,6.4436779729394935,7.401418208845198
B3,sam,crop,0.3177176855714647,0.41292200733591355,0.42150481242358145,2.523420253655091,2.8387024790049886
B3,nlf,pad_shift,0.6351043989279053,0.9131890733493754,1.1479101178427553,3.329745054244995,3.8623595237731934
B3,nlf,crop,0.6000001708194123,1.1663043708326524,1.3248659777449714,9.669787406921387,10.496164321899414
B4,sam,pad_shift,0.37772912735376923,0.5402104312355152,0.569001066867034,4.763518238015873,5.154946520143255
B4,sam,crop,0.32592257856396706,0.4834131813621779,0.5574134816643797,2.661645377887288,3.0985289726735075
B4,nlf,pad_shift,0.6681376264375771,0.9945197199719471,1.0294859746847922,6.165713787078857,7.586238384246826
B4,nlf,crop,1.172405578142333,1.4991660452047362,1.6649699826047761,7.263728141784668,8.15007209777832
B5,sam,pad_shift,6.394324136125555,13.8371723793448,17.498569888056032,7.736628819192944,11.295810371709944
B5,sam,crop,2.6029287363281397,3.18123349322427,3.626765906831518,1.8160775232531736,2.050819770146739
B5,nlf,pad_shift,1.6813221792404085,3.5574310823895283,3.708834976072,2.393238067626953,3.8810043334960938
B5,nlf,crop,0.4405344499071512,0.6577329558258553,0.6936186211783018,1.0256409645080566,1.256775975227356
N1,sam,pad_shift,2.031199334330815,3.6865386007734493,3.9393088684256945,2.124924016103694,2.664147616411866
N1,sam,crop,3.188206665572649,4.225603381196329,4.33657248912059,2.2415297428619647,3.2090262166091965
N1,nlf,pad_shift,2.754628714238235,3.87970945754803,3.907775771659781,2.169971227645874,2.7362194061279297
N1,nlf,crop,4.088312070324311,5.418807891858534,5.808969810025855,4.840136528015137,5.632060527801514
