aligned_median_mm,condition,coverage_50mm,heldout_median_mm,heldout_p90_mm,heldout_p95_mm,method,reference_support_median_mm
,FULL,0.0029,486.72345431704895,539.4043578629398,545.9894708061762,Official,577.9746535034354
,FULL,0.0038,487.4950931313035,541.7680539326338,548.5521740328,Txyz,576.7174491137314
,FULL,0.1238,186.61052190107705,231.225191490437,236.802025189107,T+Pose,264.2289708506113
,UPPER,0.1395,205.0366561498284,234.64892736580532,238.35046126780244,Official,283.1073036351233
,UPPER,0.14279999999999998,202.99058659995848,235.94862814267526,240.06838333551488,Txyz,281.38212629585416
,UPPER,0.41359999999999997,63.7568097001864,95.26053875705836,99.19850488916735,T+Pose,89.39591165952935
,LOCAL_TORSO,0.0,538.790427035105,593.1604515354422,599.9567045979844,Official,526.6950829322766
,LOCAL_TORSO,0.0,539.8557097114258,596.9006514623811,604.0312691812505,Txyz,528.1164142858634
,LOCAL_TORSO,0.078,237.40042151924533,275.54531505107974,280.31342674255905,T+Pose,264.28883789758225
