T+Pose_minus_Txyz_mm,Txyz_minus_Official_mm,condition
-300.88457123022647,0.7716388142545725,FULL
-139.23377689977207,-2.0460695498699124,UPPER
-302.45528819218043,1.0652826763207486,LOCAL_TORSO
