LOCAL_TORSO_minus_FULL_mm,UPPER_minus_FULL_mm,method
52.06697271805609,-281.68679816722056,Official
52.36061658012227,-284.50450653134504,Txyz
50.78989961816828,-122.85371220089064,T+Pose
