subject,median_improved,official_median_mm,official_p90_mm,official_p95_mm,official_coverage_50mm,txyz_median_mm,txyz_p90_mm,txyz_p95_mm,txyz_coverage_50mm
Sub03,True,21.48869938177446,55.06251879926539,76.18077926421027,0.8716,19.132239206260003,58.80385752758831,81.83759733901135,0.8774
Sub04,True,26.969840149540026,70.42671972774745,81.00105762108981,0.8048,11.557387841321514,35.011615233876995,46.92671853419119,0.955
Sub05,True,39.791884800316566,87.46173500461896,104.50937167680394,0.6156,16.534041199679066,40.78238333153102,50.42398594013995,0.9474
Sub06,True,31.09291062802381,73.45854360129202,96.74505921005236,0.7624,20.491232085091834,68.25921716804014,83.98694925301166,0.8092
Sub07,True,36.530625362663756,97.25964210379819,114.48130703034292,0.637,21.292810103902745,71.66252203759932,93.11913191344448,0.7786
