subject,sequence,frame,camera,outcome,official_median_mm,official_p90_mm,official_p95_mm,official_coverage_50mm,txyz_median_mm,txyz_p90_mm,txyz_p95_mm,txyz_coverage_50mm,delta_median_mm
Sub03,Date03_Sub03_backpack_back,t0014.000,K1,ALL_3_IMPROVED,37.9521170045703,228.77717666344103,235.15522713747671,0.5222,34.99033053579522,225.56342313859344,235.23482857144472,0.526,-2.961786468775074
Sub03,Date03_Sub03_backpack_back,t0014.000,K2,ALL_3_IMPROVED,31.088059276321218,99.42505863013598,116.59425427086987,0.6476,22.33414084042593,86.22604679818923,101.37080814401698,0.7246,-8.753918435895287
Sub03,Date03_Sub03_backpack_back,t0014.000,K3,ALL_3_IMPROVED,34.69241825350123,89.38791539046896,102.92747237817368,0.6464,23.8609743500994,76.15372979880823,89.72850105429052,0.7016,-10.83144390340183
Sub03,Date03_Sub03_backpack_back,t0026.000,K1,2_IMPROVED_0_UNCHANGED_1_DEGRADED,22.924788129159694,168.40915570110116,215.67718400057444,0.7334,21.67837634163648,164.65995753480388,211.67239457592473,0.7398,-1.2464117875232148
Sub03,Date03_Sub03_backpack_back,t0026.000,K2,2_IMPROVED_0_UNCHANGED_1_DEGRADED,21.48869938177446,55.06251879926539,76.18077926421027,0.8752,22.400768226801723,58.80385752758831,81.83759733901135,0.8476,0.9120688450272638
Sub03,Date03_Sub03_backpack_back,t0026.000,K3,2_IMPROVED_0_UNCHANGED_1_DEGRADED,19.13068632371793,47.0469007784538,55.62532314992097,0.919,18.1052545427777,47.65754821553331,56.633665470618766,0.915,-1.025431780940231
Sub03,Date03_Sub03_backpack_back,t0036.000,K1,ALL_3_IMPROVED,14.197823038664815,40.053515413772004,50.76662550950614,0.9478,13.804385838442348,41.30698117664015,51.81361061380696,0.944,-0.39343720022246664
Sub03,Date03_Sub03_backpack_back,t0036.000,K2,ALL_3_IMPROVED,25.610908289024234,56.748351077134515,71.3849492589715,0.8438,25.183681947551197,57.515931539243276,71.16278787921765,0.8432,-0.4272263414730375
Sub03,Date03_Sub03_backpack_back,t0036.000,K3,ALL_3_IMPROVED,19.670018332372784,52.61813331993421,63.756893500029065,0.8792,19.132239206260003,52.40238913287954,63.600071690589964,0.878,-0.5377791261127811
Sub03,Date03_Sub03_stool_sit,t0015.000,K1,ALL_3_IMPROVED,47.582728915302674,158.5159528116239,278.7811222094168,0.5178,31.494724173887736,130.6924384287199,283.04116661581776,0.6914,-16.088004741414938
Sub03,Date03_Sub03_stool_sit,t0015.000,K2,ALL_3_IMPROVED,88.5773557823382,128.6517517511897,136.6424543155581,0.157,59.1135481175644,101.87079860786328,111.99475349150774,0.379,-29.463807664773803
Sub03,Date03_Sub03_stool_sit,t0015.000,K3,ALL_3_IMPROVED,69.78254488771134,128.89483870305213,139.8391842905478,0.3236,52.25271966728964,99.3151044191664,112.6049366109289,0.4708,-17.5298252204217
Sub03,Date03_Sub03_stool_sit,t0027.000,K1,2_IMPROVED_0_UNCHANGED_1_DEGRADED,12.722459658844118,28.962207884999312,35.76811034542585,0.9896,11.002527879742797,25.676463102548283,32.003741608141894,0.992,-1.7199317791013211
Sub03,Date03_Sub03_stool_sit,t0027.000,K2,2_IMPROVED_0_UNCHANGED_1_DEGRADED,14.223650581575843,38.54087577665893,43.62848022447566,0.9886,12.695972946513109,33.69952003983262,38.46476206725195,0.9914,-1.5276776350627337
Sub03,Date03_Sub03_stool_sit,t0027.000,K3,2_IMPROVED_0_UNCHANGED_1_DEGRADED,19.09271108269352,189.10803313531315,239.08041858518527,0.7906,19.576530658846693,192.5668106868892,241.46473706538592,0.7928,0.4838195761531736
Sub03,Date03_Sub03_stool_sit,t0038.000,K1,1_IMPROVED_0_UNCHANGED_2_DEGRADED,14.168122610771707,38.7481445791796,52.08731587375653,0.9472,10.751860230966312,30.887011586147064,48.01876246576658,0.951,-3.4162623798053957
Sub03,Date03_Sub03_stool_sit,t0038.000,K2,1_IMPROVED_0_UNCHANGED_2_DEGRADED,12.838634396233353,31.009783208141634,39.456590477702534,0.9748,14.458066266611938,43.63567069861368,49.02908051200607,0.953,1.6194318703785857
Sub03,Date03_Sub03_stool_sit,t0038.000,K3,1_IMPROVED_0_UNCHANGED_2_DEGRADED,13.147651495582654,31.668554681119204,61.63424460079865,0.9416,13.45568051807846,40.07868657074919,62.905482428557406,0.9394,0.30802902249580555
Sub03,Date03_Sub03_yogaball_play,t0014.000,K1,ALL_3_IMPROVED,24.944792067640822,74.19845332674115,124.48314356659284,0.8092,16.75310011026852,60.75579369295058,105.62931956265798,0.8728,-8.191691957372303
Sub03,Date03_Sub03_yogaball_play,t0014.000,K2,ALL_3_IMPROVED,43.88863744022407,191.6709194692051,207.64939479387616,0.574,28.03847142356191,172.1034189290526,186.33141349301093,0.6888,-15.850166016662165
Sub03,Date03_Sub03_yogaball_play,t0014.000,K3,ALL_3_IMPROVED,31.670193530825337,134.05152941108156,186.35205274611846,0.6908,21.13436631705283,112.31758765317213,165.64532685540024,0.794,-10.535827213772507
Sub03,Date03_Sub03_yogaball_play,t0025.000,K1,ALL_3_IMPROVED,18.166530490872088,54.21819357042802,67.16086622229133,0.8716,16.778623886264022,48.23374515962344,60.959710040501186,0.9076,-1.387906604608066
Sub03,Date03_Sub03_yogaball_play,t0025.000,K2,ALL_3_IMPROVED,23.750931873198994,65.82298037288717,77.45148817105722,0.767,18.789174608096346,59.19891848030127,70.58585834220011,0.8214,-4.961757265102648
Sub03,Date03_Sub03_yogaball_play,t0025.000,K3,ALL_3_IMPROVED,15.819725498400212,51.30074957661253,69.02904152427212,0.8946,14.377730254843797,47.589709532909055,63.71381957226669,0.909,-1.4419952435564145
Sub03,Date03_Sub03_yogaball_play,t0036.000,K1,ALL_3_IMPROVED,37.691552121722665,84.2387320024232,105.13558472794978,0.6404,17.299653447616883,61.94410692822731,90.78065467984807,0.8774,-20.391898674105782
Sub03,Date03_Sub03_yogaball_play,t0036.000,K2,ALL_3_IMPROVED,26.30244268837919,70.22399604039127,90.46184551300388,0.7934,20.683067135770983,61.60586840490426,98.26137325794618,0.8614,-5.619375552608208
Sub03,Date03_Sub03_yogaball_play,t0036.000,K3,ALL_3_IMPROVED,31.95695775850892,72.22301622799452,83.66709636441139,0.7058,14.3817994973591,40.487723296293304,55.281606291133556,0.938,-17.57515826114982
Sub04,Date03_Sub04_backpack_back,t0015.000,K1,ALL_3_IMPROVED,14.753351067934469,37.508291707275234,46.41106228245565,0.963,8.33104457988685,24.28816380246419,29.768975231567183,0.9878,-6.422306488047619
Sub04,Date03_Sub04_backpack_back,t0015.000,K2,ALL_3_IMPROVED,22.146387324420687,125.54549890199289,165.92031942674424,0.808,12.701221180099804,140.240959860534,181.26762534569025,0.809,-9.445166144320883
Sub04,Date03_Sub04_backpack_back,t0015.000,K3,ALL_3_IMPROVED,14.415188371732421,36.12705238433247,49.564907163502895,0.9512,8.657542148522431,24.492195437375326,35.17287802029374,0.9712,-5.75764622320999
Sub04,Date03_Sub04_backpack_back,t0026.000,K1,ALL_3_IMPROVED,21.170652363588196,50.63159063420704,58.628791201474186,0.8938,8.111552206802358,30.79558667429163,46.78737006252022,0.955,-13.059100156785838
Sub04,Date03_Sub04_backpack_back,t0026.000,K2,ALL_3_IMPROVED,35.03215967388898,193.47329351267115,205.88494562556446,0.6178,21.980633061705888,231.17227352014103,243.2204131015487,0.6082,-13.051526612183089
Sub04,Date03_Sub04_backpack_back,t0026.000,K3,ALL_3_IMPROVED,16.60101830472936,38.482926185114344,43.86643779800444,0.9768,8.697279630925827,26.36426815980917,33.540043557505136,0.9862,-7.9037386738035345
Sub04,Date03_Sub04_backpack_back,t0037.000,K1,ALL_3_IMPROVED,29.724614481296406,65.66419504663686,83.75790875213133,0.7852,7.97730173789537,28.667632541039982,60.6595744381449,0.9398,-21.747312743401036
Sub04,Date03_Sub04_backpack_back,t0037.000,K2,ALL_3_IMPROVED,26.582582662138456,52.35225633402839,58.92872655740298,0.871,13.237430625629973,44.24373596716383,53.24550044039387,0.9328,-13.345152036508484
Sub04,Date03_Sub04_backpack_back,t0037.000,K3,ALL_3_IMPROVED,26.969840149540026,63.26630830398693,74.79909682383007,0.8048,11.484168891119399,35.011615233876995,50.9984644606812,0.9478,-15.485671258420627
Sub04,Date03_Sub04_stool_sit,t0015.000,K1,ALL_3_IMPROVED,14.241343972783664,48.50799111584394,59.30496904736775,0.9108,13.362094726565267,34.00928627685681,40.20967216555758,0.9782,-0.8792492462183965
Sub04,Date03_Sub04_stool_sit,t0015.000,K2,ALL_3_IMPROVED,18.57499742314033,42.2150394187428,52.448926708147404,0.9408,14.134688653477454,34.922201040671816,40.75633647192468,0.9718,-4.440308769662877
Sub04,Date03_Sub04_stool_sit,t0015.000,K3,ALL_3_IMPROVED,17.87900084292057,42.36570654306396,53.73943627445159,0.9402,9.283538543021336,30.014512493017808,41.03963395574477,0.972,-8.595462299899232
Sub04,Date03_Sub04_stool_sit,t0027.000,K1,ALL_3_IMPROVED,16.14925378363513,72.62790535106767,105.802919206744,0.8316,12.267372888433382,52.771053330835265,79.49306353606045,0.8914,-3.88188089520175
Sub04,Date03_Sub04_stool_sit,t0027.000,K2,ALL_3_IMPROVED,39.428204365567154,100.22553778947697,130.3332221934496,0.647,23.80124937890735,88.02861572025682,105.69169773036658,0.7818,-15.626954986659804
Sub04,Date03_Sub04_stool_sit,t0027.000,K3,ALL_3_IMPROVED,15.676444122118195,78.39885535323161,105.75834699589083,0.827,14.459855565814987,63.51071638567441,93.26333652344883,0.874,-1.2165885563032077
Sub04,Date03_Sub04_stool_sit,t0038.000,K1,ALL_3_IMPROVED,28.946024377511804,70.42671972774745,84.88762823670767,0.7268,11.818931257117116,33.35781755121356,49.45010389656337,0.9514,-17.12709312039469
Sub04,Date03_Sub04_stool_sit,t0038.000,K2,ALL_3_IMPROVED,33.182907184213164,74.93836314322706,81.00105762108981,0.6686,22.105784698174023,40.963710083010746,46.92671853419119,0.961,-11.07712248603914
Sub04,Date03_Sub04_stool_sit,t0038.000,K3,ALL_3_IMPROVED,35.175671527823056,68.72368511194793,73.48617167247036,0.6804,13.72705468572223,35.08964146400822,41.44783960685598,0.9784,-21.448616842100826
Sub04,Date03_Sub04_yogaball_play,t0010.000,K1,ALL_3_IMPROVED,42.89503780646346,83.43449305051152,92.88831132502767,0.5712,6.684850121767498,20.01293806524827,29.406753976549133,0.9944,-36.21018768469597
Sub04,Date03_Sub04_yogaball_play,t0010.000,K2,ALL_3_IMPROVED,43.246429447738805,89.39096739323381,100.31066907806733,0.5682,13.253357621161273,32.96721744399272,41.422503439236145,0.9634,-29.993071826577534
Sub04,Date03_Sub04_yogaball_play,t0010.000,K3,ALL_3_IMPROVED,60.834250924586655,106.4274659850669,128.41233239456398,0.3916,11.557387841321514,33.05138682024648,76.55935451573951,0.9258,-49.27686308326514
Sub04,Date03_Sub04_yogaball_play,t0022.000,K1,ALL_3_IMPROVED,46.513864133013485,98.1274342463448,109.26068179670148,0.5272,9.119058521092635,38.133905066247266,63.54902420837981,0.9218,-37.39480561192085
Sub04,Date03_Sub04_yogaball_play,t0022.000,K2,ALL_3_IMPROVED,31.375253657788136,86.44562191085654,101.15309701853054,0.7042,17.12787555843584,38.594503524132605,55.49753865879866,0.9376,-14.247378099352296
Sub04,Date03_Sub04_yogaball_play,t0022.000,K3,ALL_3_IMPROVED,32.389938286886036,90.15574704773668,107.34230631527637,0.6478,10.980636811026933,28.516205742485567,42.38337553501752,0.9562,-21.409301475859102
Sub04,Date03_Sub04_yogaball_play,t0034.000,K1,ALL_3_IMPROVED,31.251082592119097,61.67208287590672,68.7631491865324,0.7812,11.515304179108774,27.274966016829495,32.78422800492657,0.9818,-19.735778413010323
Sub04,Date03_Sub04_yogaball_play,t0034.000,K2,ALL_3_IMPROVED,33.74022713917167,76.6687752837332,84.36868504780566,0.6884,13.821329739837314,36.98176274345319,49.15448453974181,0.9524,-19.91889739933436
Sub04,Date03_Sub04_yogaball_play,t0034.000,K3,ALL_3_IMPROVED,68.04646078646894,403.541006730453,430.9916893972424,0.4242,33.39821639932316,404.3571794847629,431.92608125456803,0.527,-34.64824438714578
Sub05,Date03_Sub05_backpack,t0035.000,K1,ALL_3_IMPROVED,95.26665998459835,148.70913879113988,166.2021374664829,0.1626,17.108952721252006,48.1298460804225,71.63454118570331,0.9092,-78.15770726334634
Sub05,Date03_Sub05_backpack,t0035.000,K2,ALL_3_IMPROVED,51.13762870794855,115.52767908277399,126.08424489557535,0.4922,17.49472435440829,43.86850539128724,52.785544422283905,0.9388,-33.64290435354026
Sub05,Date03_Sub05_backpack,t0035.000,K3,ALL_3_IMPROVED,56.084359235596025,117.50816657113961,136.2164555356997,0.458,12.06348873499198,30.975586403560445,40.28471175502135,0.9538,-44.02087050060405
Sub05,Date03_Sub05_backpack,t0070.000,K1,ALL_3_IMPROVED,39.83314770865306,70.89847861542175,79.14856349148454,0.6386,12.866236134999639,34.227192487889994,43.29720748353887,0.9696,-26.96691157365342
Sub05,Date03_Sub05_backpack,t0070.000,K2,ALL_3_IMPROVED,39.791884800316566,83.09062978622187,91.5050769991279,0.6016,20.74442754466586,40.497719195879505,44.03877382915908,0.985,-19.047457255650706
Sub05,Date03_Sub05_backpack,t0070.000,K3,ALL_3_IMPROVED,33.93057734803483,75.29785717517042,88.24846392777557,0.6926,15.46745333353724,35.24774104731741,42.097494459639826,0.971,-18.46312401449759
